tweet_id	hs	aggressiveness	offensiveness	irony	stereotype
841570591354294272	no	weak	no	no	yes
849852826968887296	no	no	no	no	no
850108076711710720	no	no	no	no	no
839579000242597889	no	weak	no	no	no
845604711285870592	no	no	no	yes	yes
846484387642388480	no	weak	no	yes	no
826189126516998144	no	no	no	no	no
837351294364954624	yes	no	no	no	no
856514329579073537	no	no	no	no	no
838740024812269568	no	no	no	no	no
835175487571886080	no	no	no	no	no
822452735790432256	no	no	no	yes	no
835537503608258562	no	no	no	no	no
821685419406401536	no	strong	weak	yes	yes
835238357139615745	no	no	no	no	no
837243862666067968	no	no	no	no	no
837406434329411584	no	no	no	no	no
839256712615964672	no	no	no	no	no
801786336122437636	no	no	no	no	no
804954646120951808	no	no	no	no	no
836268839566475264	no	no	no	yes	no
813663519841382401	no	weak	no	yes	no
842827425037860865	no	no	no	no	no
799249839997546496	no	weak	no	yes	yes
835882330321469444	no	no	weak	yes	yes
835515076731891716	no	no	no	no	no
842468916366594048	no	no	no	yes	yes
835429902702755840	no	no	weak	yes	no
825661041736548354	no	no	no	no	no
853686540404490240	no	no	weak	yes	yes
851097697436282880	no	no	no	yes	yes
801812474207019009	no	no	no	no	no
786095516358701056	no	no	no	no	no
835230203592990720	no	no	no	yes	no
800787812559814656	no	no	no	yes	no
788827166205177857	no	no	no	no	no
807290272266776577	no	no	no	yes	no
807908069984403456	no	no	no	yes	no
835203182372466688	no	no	no	no	no
792271450677862400	no	no	no	yes	yes
835239567502553088	no	no	no	yes	yes
856438700049395712	yes	strong	no	no	no
837010686064660480	no	no	no	no	no
814577277702967297	no	weak	weak	yes	yes
786942382411489280	no	no	weak	no	no
837329348986273793	no	no	no	no	no
799188077658963968	no	no	no	no	no
788293745573765120	no	weak	weak	no	no
782831015517646848	no	no	no	no	yes
802517008415911936	no	no	no	no	no
843139376456650752	no	weak	no	yes	yes
839063267582623744	no	no	no	yes	no
835620729643233280	no	no	no	yes	no
835818204098408448	no	no	weak	yes	yes
835455141155319813	no	no	no	no	no
835463265354412032	no	weak	weak	no	yes
803020610427383808	no	no	no	no	no
842465763806052357	no	weak	weak	yes	yes
783599060112506880	no	weak	no	yes	no
844275692774735872	no	no	no	no	no
783386631248150528	no	no	no	yes	no
847750952903884800	no	no	no	no	yes
811495526243897345	no	no	no	no	no
830728913483608064	no	no	no	yes	no
835414408981528576	yes	strong	weak	yes	yes
831228511100792832	no	weak	no	yes	no
835794114058850304	no	no	no	no	no
843852545110016005	no	no	no	no	no
855386933115138050	no	weak	no	no	no
841270304643080196	no	no	no	no	no
838270523591311361	no	no	no	no	no
799967739804872704	no	no	no	no	yes
806486594119233536	no	no	no	no	no
824650372413345792	no	no	no	no	no
786876541221437440	no	weak	no	yes	no
815165133639053312	no	no	no	no	yes
846830108396662785	no	weak	no	no	yes
839866230647439360	no	no	no	no	no
824716798226534400	no	weak	no	no	no
834859056955346944	no	strong	no	no	no
821646421631913984	no	no	no	no	no
799269640631250944	no	no	no	no	no
856506315371401216	no	no	no	no	no
841658947241152512	no	no	no	no	no
837376398889218049	no	no	no	yes	yes
841542519267721217	no	no	no	no	no
845905420443140096	no	no	no	yes	yes
803555495739068417	no	no	no	no	yes
839188127080144896	no	no	no	no	no
835115694475857921	no	no	no	no	no
823558766855618561	no	no	no	no	no
842821235344117761	yes	weak	no	yes	yes
810400770319323136	no	no	no	no	no
821376229093896194	no	no	no	no	no
849554329090523140	no	no	no	no	no
840938768400044032	no	no	no	no	no
836862993409454081	no	no	no	no	yes
841320980224053248	no	no	no	no	no
828173239314706432	no	no	weak	no	no
807503889268436992	no	no	no	no	no
783730866425958400	no	no	no	no	no
841703823936708608	no	no	no	no	no
856052357301501952	no	no	weak	yes	yes
844294663364317188	no	no	no	no	no
839476092297752576	no	no	no	no	no
824710174871019520	no	weak	no	yes	no
836327330012413955	no	no	no	no	no
847095896152117248	no	no	no	yes	yes
840554796402786305	yes	strong	weak	yes	no
836851845851131904	no	weak	no	no	no
840649220650598400	yes	strong	weak	yes	yes
823665247995232256	no	no	no	no	no
801383022608191488	no	no	no	no	no
827531613617655808	no	no	no	yes	yes
826337496183214080	no	no	no	no	yes
836864666173341696	no	weak	no	yes	yes
839440885217693697	no	no	no	no	no
827187851934711809	no	no	no	yes	yes
839638694357258244	no	no	no	no	yes
807127364354396160	no	no	no	no	no
836597872418295808	no	no	no	no	no
789322725357649920	no	no	no	yes	yes
839612544759259138	no	no	no	no	no
841898738998247428	no	no	no	no	no
835347574420725760	no	no	no	no	no
822441181695148032	no	no	no	no	no
825150234342862852	no	no	no	no	no
803681738727702528	no	weak	no	no	no
802281040601554945	no	no	no	no	no
805741519315599360	no	strong	strong	yes	no
846765363459211266	no	weak	weak	no	yes
811872335594655744	no	no	no	no	no
838352021640081409	no	no	no	no	no
782511501340991489	no	no	weak	no	yes
840138144414539777	yes	strong	strong	yes	no
835559109843898368	no	no	no	no	no
840961811851685890	no	no	no	no	no
826835769054593024	no	no	no	yes	no
835206283984789504	no	no	no	yes	no
800789580677054464	no	no	no	yes	no
811099779996549120	no	no	no	no	no
850957479873724416	no	no	no	no	no
844509006056050689	no	no	no	no	no
809450609204199425	yes	weak	no	no	no
853164676888375296	no	no	no	no	yes
782152988672438273	no	no	no	no	no
840121983710904320	no	weak	no	no	no
811235499733958656	no	no	no	no	yes
820187458964889601	no	no	no	no	no
855695970515820544	no	no	no	no	no
842753598144430080	no	no	no	no	no
835230985579016193	no	no	no	yes	no
831195807609135104	no	weak	weak	no	yes
832268773298204679	no	no	no	no	yes
840853311356059648	no	no	no	yes	no
843107061382701057	no	no	no	no	no
839522033788583936	no	no	no	no	no
835590177816969218	yes	strong	weak	no	no
825041512736055296	no	no	no	no	no
836840955856699392	no	no	no	no	yes
840263114683756544	no	weak	no	no	yes
826209474197192704	no	weak	strong	no	no
839378061699186688	no	no	no	yes	no
840630956776124418	no	no	no	no	no
837412383492538370	no	weak	no	no	yes
836403822729785345	no	weak	no	no	yes
840956163785162752	no	no	no	no	no
834889313506709510	no	no	no	no	yes
849182270925803520	no	no	no	no	yes
826955133607170048	no	no	no	no	no
848032777765351424	no	no	no	no	no
807176522436120576	no	no	no	no	no
829592440277450752	no	no	no	no	yes
829795252747849728	no	no	no	no	no
839246839404761089	no	no	strong	no	yes
835159603470008320	no	no	no	no	no
820574294451322881	no	no	no	no	no
807165796233441281	no	no	no	no	no
836331741711302658	no	no	no	no	no
791369658125475840	no	no	no	no	no
826741784290148352	no	no	no	no	yes
834421586459521024	yes	weak	weak	no	yes
786138577927282688	yes	strong	no	yes	no
843360562037903360	no	no	weak	no	yes
784034788541739009	no	no	no	no	no
835135479540551680	no	no	weak	yes	no
841716409021390852	no	no	no	no	no
839605324684361730	no	no	no	no	no
803981726892425216	no	no	no	no	yes
829357900732780545	no	no	no	no	no
812419773292277761	no	no	no	no	no
825409107737845761	no	no	no	no	no
800706813951901696	no	no	no	no	no
844148192627347456	no	weak	strong	no	no
846765407100964864	no	no	no	yes	yes
826944515114225664	no	weak	no	yes	yes
818548232859029504	no	no	no	no	yes
851079198252904450	no	no	no	no	no
835783434253520896	no	no	no	yes	yes
848835878969540612	no	no	no	no	yes
832202995874004992	yes	strong	strong	no	yes
838338857317826560	no	weak	no	no	no
841236476998352898	no	no	no	no	no
850719907763281920	no	no	no	no	no
785962145997520896	no	no	no	no	no
841259344503197697	no	no	no	no	no
820626034911543296	no	no	no	no	yes
847343976466104321	no	no	no	no	yes
808573981905326080	no	no	no	no	yes
842278742550581248	no	no	no	no	no
850357557873045504	no	no	no	no	no
804677425237991424	no	no	no	no	yes
835423450319695872	no	no	no	no	no
811354368901410816	no	no	weak	no	yes
835474120678731776	no	no	no	no	no
812374237071577088	no	no	no	no	no
822158606632124417	no	weak	strong	no	yes
850628068100063232	no	no	no	no	no
831959296317517824	yes	strong	strong	no	yes
835561193511190528	no	no	no	no	no
849321601007005696	no	no	strong	no	no
812226951943430144	no	no	no	no	no
809316456903147520	no	no	no	no	yes
848517050083528705	no	no	no	no	no
842409625232244737	no	no	no	no	no
808045368814555136	no	no	no	yes	no
853903589726617601	yes	weak	weak	no	yes
825702259862405120	no	weak	no	no	yes
791256221131079689	no	no	no	no	yes
836686226270928896	no	strong	weak	no	yes
843131030521430016	no	no	no	yes	no
822317558829228032	no	no	no	no	no
843047604644544512	no	no	no	no	yes
837069843677462528	no	no	no	no	yes
824178773859954689	no	no	no	no	yes
844170321544581120	no	no	no	no	yes
802834199187193856	no	no	strong	yes	yes
810097153876094976	no	no	no	no	yes
835179150579273728	no	no	weak	yes	no
812374820071632900	no	no	no	no	no
836954922671300613	no	no	no	no	yes
846474457267027968	no	strong	strong	no	yes
830841393937600513	no	weak	no	no	no
787576865993134080	no	no	no	no	no
789250723468967938	no	no	weak	yes	yes
824962723628908545	no	no	no	yes	yes
840933741837053952	no	no	no	no	no
844966652966060032	no	no	no	no	no
851477582856040449	yes	no	strong	no	yes
789363569338888193	no	no	no	no	yes
839536859143364609	no	no	no	no	no
835909093109952512	no	no	weak	no	no
798831373272301569	no	no	no	no	no
807868474462760960	no	no	no	no	no
843069872712138754	no	no	no	no	no
833372090703151104	no	no	no	no	no
850406019188609026	no	no	no	no	no
812294979179704321	no	weak	no	yes	no
807573591021719554	no	weak	no	no	yes
783950268123582464	no	no	no	no	yes
846721588712099841	no	no	no	no	yes
850749402272722945	no	no	no	no	no
808051921852436480	yes	strong	no	no	yes
807305481698078720	no	weak	no	yes	no
835191977608003584	no	no	no	no	yes
846277363906285569	no	weak	no	no	yes
836566668486782976	no	no	no	no	yes
786650633407434752	no	no	no	no	no
839094561246957568	no	no	no	no	no
825057534373425153	no	no	no	no	no
839118193738276864	no	no	no	no	no
828596749652615168	no	no	strong	no	no
847447652681760768	no	no	no	no	no
807605444269182976	no	no	no	no	no
855331399594778624	no	no	no	no	no
851827770917355520	no	no	no	no	no
785834536961617920	no	no	no	no	yes
827214125369589762	no	no	no	no	no
821719609191649281	no	no	no	yes	yes
844421205750943744	no	no	no	no	no
789402550013308930	no	no	no	no	no
841569378915241984	no	no	no	no	yes
822700325182341124	no	no	strong	no	yes
849921578225815552	no	no	no	no	no
838712053795852288	no	no	no	no	no
825408756376858624	no	strong	weak	no	yes
803978743391932416	no	no	weak	yes	no
832222955442692096	yes	strong	weak	yes	yes
786617215256817664	no	weak	no	no	yes
835494218936299520	no	no	no	no	no
793404879838511104	no	no	no	no	yes
840942344992092160	no	no	no	no	no
838690195067273216	no	no	no	yes	yes
814320913067995136	no	no	no	no	no
834413866696192000	no	no	no	no	yes
835133618121019392	no	no	weak	no	yes
836332284513042433	no	weak	weak	no	yes
840487692387401729	no	no	no	no	yes
835221795993169920	yes	strong	no	no	yes
841337155209318400	no	no	weak	no	yes
800106568947736576	no	no	no	yes	no
810179855509819393	no	no	no	no	yes
840508385132929024	no	no	no	no	no
826500606022008834	no	no	no	no	no
783710113530048512	no	no	no	no	no
842462888702935040	no	weak	strong	no	yes
809027061486682112	no	no	no	no	yes
827069944303071233	no	weak	no	no	yes
843111344102670337	no	weak	no	yes	no
818788665908494340	no	no	no	no	no
836923466397908992	no	no	no	no	yes
793548832156049408	no	strong	weak	no	yes
802058778883620864	no	no	no	no	no
850336628921053184	no	no	no	no	no
856060336801161217	no	no	no	no	yes
835797683235405824	no	no	no	no	no
856951245147439104	no	no	no	no	no
788104078031106048	no	no	no	no	no
819903646204915712	no	no	no	no	no
824580338966007810	no	no	no	no	no
832852682062884864	no	weak	no	no	no
826384535931801600	no	no	no	no	yes
811119635051479040	no	no	no	no	yes
837100199763972096	no	no	no	no	yes
808656135137923072	no	no	no	no	no
785168553548910592	no	no	no	no	no
838770162484527104	no	no	no	yes	no
826806184384589826	no	no	no	no	no
842772136817299456	no	no	no	no	yes
809176345750011905	no	no	weak	no	yes
836326400059637761	no	no	no	yes	yes
810079370626920452	yes	weak	weak	no	yes
835506055157276672	no	no	no	no	yes
829385932394659841	no	no	no	no	no
838746893588938752	no	no	no	no	no
807613362070765568	no	no	no	no	no
827583906622881794	no	no	no	no	no
786246736452780032	no	no	no	no	yes
849134486084362241	no	weak	no	no	yes
851783273047093248	no	no	no	yes	yes
836206046410592257	no	no	no	no	no
835775993633730563	no	weak	weak	yes	yes
843143606894510080	yes	strong	strong	yes	yes
816222944926035968	yes	strong	strong	no	yes
782865954057359361	no	no	no	no	no
845757834029682689	no	no	no	yes	yes
847390227790348289	no	no	no	no	yes
840983289330454528	no	no	no	no	no
785498796365086721	no	no	strong	no	yes
825058648980336641	no	no	no	no	no
803176483174780929	no	weak	no	no	yes
841285585507614720	no	weak	no	yes	yes
849341988952576000	no	no	no	no	no
834858599063101440	no	no	no	no	no
783650298397089792	no	no	no	no	no
854444377313300480	no	no	no	no	no
844321831137927168	no	no	no	no	yes
841713068883267584	no	no	no	no	no
834476091263836162	no	strong	weak	no	yes
825054599119777793	no	no	no	no	yes
793613036401614848	no	no	no	yes	yes
824702513299460097	no	no	no	no	no
836601409109901313	no	no	no	no	yes
841258292320034816	no	no	no	no	no
810256457253945344	no	no	no	no	no
845576919844372480	no	no	no	yes	yes
850016385686286336	no	weak	strong	no	yes
801855495778795520	no	no	no	no	no
842998730504769537	no	no	no	no	yes
799778495094108161	no	no	no	no	yes
835435591122694145	no	weak	weak	yes	yes
829588027529953280	no	no	no	no	no
810069815977279488	no	no	no	no	yes
836578036745138176	no	no	no	no	yes
821778268831547393	no	no	no	no	no
832937973238865920	no	no	no	no	no
835621329042812929	no	no	no	no	no
839435157253783552	no	no	no	no	no
843246990586789889	no	no	strong	yes	yes
810081463257432064	no	no	no	no	yes
840195879227273219	no	no	no	yes	no
841961585035862016	no	no	weak	no	yes
784037833363320832	no	no	no	no	no
841286120927297538	no	no	no	no	no
829421248774074368	no	no	weak	no	no
808403947740430336	no	weak	no	no	no
800380180845838336	no	no	no	no	yes
840626770353246208	no	no	no	no	no
838347583059857408	no	no	weak	no	no
806989891208941568	no	no	strong	no	no
841267224455315457	no	weak	weak	no	yes
798831842568769536	no	no	no	no	no
825050698773565440	no	no	no	no	no
821709193409400833	no	strong	weak	no	yes
835422324451082240	no	weak	no	yes	no
856495219507965953	no	no	no	no	yes
838324807787757569	no	no	no	no	no
812305545851994112	no	no	no	no	yes
784405754652585984	no	no	no	no	yes
845030136584065024	no	no	weak	yes	yes
847808831635820545	no	no	no	no	no
835033619827724289	no	weak	no	yes	yes
823446127357870080	no	no	no	no	no
790858022943883264	no	no	no	no	yes
783737181366054949	no	weak	strong	no	yes
847522276333551617	no	weak	no	no	yes
823551017879031808	no	weak	weak	yes	yes
786280312741519360	no	no	strong	no	yes
855856514388676609	no	weak	weak	no	yes
834872315703869441	no	strong	no	no	no
786190573355036672	no	no	no	no	yes
835283141447270402	no	no	weak	yes	yes
786094296785117188	yes	strong	weak	no	yes
830819627580141568	no	no	no	no	no
801010538041974784	no	no	no	no	no
855034610362855425	no	no	no	no	no
814423250629488640	no	no	no	no	yes
783342301565202432	no	no	no	no	no
846742686447079428	no	no	no	no	yes
822106381377503232	no	no	no	no	yes
810420463864348672	no	no	no	no	yes
843938723704324096	yes	strong	no	no	yes
835440496919076866	no	no	no	no	no
782689291679956993	no	no	no	no	yes
824711635050889217	yes	strong	weak	no	yes
813729048912338945	no	no	no	no	no
841242688603246592	no	no	no	yes	yes
822410330051670017	no	no	no	no	no
841271689044463617	no	no	no	no	no
785795613384335361	no	no	weak	no	yes
838697095859175424	no	weak	strong	no	yes
851332404379873280	no	weak	no	no	yes
837298660450963456	no	no	no	no	yes
799528852410265600	no	no	no	yes	no
850786741871157248	no	no	no	no	no
805424722158624769	no	no	no	no	yes
835515539858550784	no	weak	no	yes	yes
843051540407615488	no	no	no	no	yes
849783629114900481	no	no	no	no	no
835413816980692992	no	no	no	yes	no
848638165783126020	no	weak	no	no	yes
809134973227769856	no	no	no	no	no
837304928729198597	no	no	no	no	no
788830475901165568	no	no	no	no	no
825992559440846849	no	no	no	no	yes
835466886817144834	no	strong	no	yes	no
821630543506837504	no	no	no	no	no
783996952249786368	no	weak	strong	yes	yes
835415495977357313	no	weak	no	no	yes
825391866988335104	no	no	no	no	yes
803716311872393216	no	no	no	no	yes
832593361185943552	yes	strong	strong	no	yes
835392682566504448	no	no	no	no	no
807972840851050496	no	no	no	no	no
826689341107892224	no	no	no	no	yes
828519733184061440	no	weak	weak	no	yes
847576330740932608	no	no	no	no	no
851324624059150337	no	no	no	no	no
844447452979761152	no	weak	weak	yes	yes
852523455304040448	no	no	no	no	no
830558316107558914	no	weak	no	no	yes
847371935079997443	no	no	no	no	yes
817862425240215552	no	no	no	no	no
805908189891936256	no	no	no	no	no
841386226733195264	no	no	no	no	no
790548886813310976	no	no	no	no	no
843089872021848064	no	weak	strong	no	yes
847074963664375808	no	no	no	no	no
817663776371732480	no	no	no	no	yes
851877283803607040	no	no	no	no	no
840979822465671170	no	no	no	no	no
835183427997552640	yes	strong	no	no	yes
849160395013197824	no	weak	no	no	no
787426843678928896	no	no	no	no	no
838703418751475712	no	no	no	no	no
813078803371196416	no	no	no	no	no
792389513808977924	no	no	no	no	yes
809031206117445632	no	no	no	no	no
846396222189514752	no	strong	no	no	no
826821689300365314	no	no	no	no	yes
811499738096766976	no	weak	weak	no	no
800793724024422400	no	no	no	yes	no
856582175306780674	no	no	no	no	no
812715812868001792	no	no	no	no	no
800292220167487488	no	no	no	no	no
831957529252999169	no	weak	no	yes	yes
826460369396887553	no	no	no	no	yes
850405395998932992	no	no	no	no	no
831230154584244226	no	weak	no	no	yes
782187533518135296	no	no	no	no	yes
841534338755919872	no	no	no	no	yes
842837041499049984	no	no	no	no	yes
793468357450330114	no	no	no	no	yes
810069703414714368	no	no	no	no	yes
821643714414178304	yes	strong	strong	no	yes
837314516937490432	no	weak	no	yes	yes
822076915204898816	no	weak	no	yes	yes
791018262960058368	no	no	no	no	no
827209684167880705	no	no	no	no	yes
835215569712480256	no	weak	no	yes	yes
836774577531408384	no	weak	no	no	yes
839574012695101441	no	no	no	no	yes
828859365738295297	no	no	no	yes	yes
846258848180531200	no	no	no	no	no
849129760521424896	no	weak	no	no	yes
838496676348375041	no	no	no	no	no
824168011372359680	no	no	no	no	yes
824585125384114177	no	no	no	no	no
785138205175709696	no	no	no	no	no
844258617473810432	no	no	no	no	no
823828713917792256	no	no	no	no	no
841572572101775360	no	no	no	no	no
822118675553488896	no	no	no	no	no
782955939662102528	no	no	no	no	yes
844880743742476288	no	no	no	no	yes
828966065757630466	no	no	no	no	yes
836187462930165761	yes	strong	no	yes	yes
835103875283763201	no	no	no	no	yes
846469372390625281	no	no	no	no	no
838846719676796928	no	no	no	no	yes
835075358315655168	no	no	no	no	yes
840620898482823168	no	weak	no	no	no
823618701438124033	no	no	no	yes	no
814086089807896576	no	weak	no	no	no
829984109158158336	no	no	no	no	yes
836651095934058497	no	no	no	no	yes
823583022335332352	no	no	no	no	no
843080399970623488	no	no	no	yes	yes
830685514642706434	no	no	weak	no	yes
814054524205801472	no	no	no	yes	no
837307255439654913	no	no	no	yes	no
810071530055041029	no	no	no	no	yes
841038180195418112	no	no	no	no	no
828005361869283329	no	no	no	no	yes
844389587447431168	no	no	no	no	yes
788343671519219712	no	no	no	no	no
835145712631414784	no	weak	no	yes	no
808398200533090304	no	strong	no	no	yes
791255216855416833	no	no	weak	no	yes
846481449675112448	no	weak	no	no	yes
829658635114573824	no	weak	no	yes	yes
835229338685566976	no	no	no	yes	no
846802094967459840	no	no	no	no	no
814802085107658753	no	no	weak	no	yes
786332190015709184	no	no	no	no	no
841716639863312385	no	no	no	no	no
800793761798295552	no	weak	no	no	yes
835444760538120192	no	no	no	yes	no
853916917698093056	no	no	no	no	no
811727356155097088	no	no	no	no	no
853309967532740608	no	no	no	no	yes
835417322655469569	no	no	no	no	no
846479445603078145	no	weak	weak	yes	yes
830521853051535361	no	no	no	no	yes
849924423222255616	no	no	no	no	no
812257535394742272	no	no	no	no	no
800804036307992583	no	no	no	no	no
852025119983652865	no	no	no	no	no
807460158666371072	no	no	no	no	yes
855872976549531649	no	no	no	yes	yes
834364338622308352	no	no	no	yes	yes
782878712861786112	no	no	no	no	yes
835397856324284416	no	no	no	no	no
824695235817115650	no	weak	no	yes	no
810196354437935104	no	no	no	no	yes
852502599886663680	no	no	no	no	yes
838752399317741569	no	no	no	no	no
835250197861122048	no	no	no	no	no
839566555721699331	no	no	no	no	yes
799583373840695301	no	no	no	no	no
839527213716422660	no	no	no	no	no
783675694203146240	no	weak	no	yes	yes
792021985916313600	no	no	no	no	no
830856196890435586	no	no	no	no	yes
789394064017805312	no	weak	no	no	yes
810120475074555908	no	no	no	no	yes
788632654619021313	no	no	no	no	no
839818083439095809	no	no	no	no	yes
844153763195580416	no	no	weak	no	yes
814037469704441856	no	strong	no	yes	no
838198482255114242	no	weak	weak	no	yes
831054990273835008	no	weak	no	yes	no
814391437244661760	yes	strong	no	no	yes
804430007481335811	no	no	no	no	no
807567652839391236	no	no	no	no	no
835961279797952513	no	no	no	no	no
847768586835812353	no	no	no	no	no
809371806054354945	no	no	no	no	yes
838843299976859648	no	no	no	no	yes
810078356544884736	no	no	no	no	no
840212335566434304	no	no	weak	no	yes
846515458215948290	no	no	no	no	no
840830781966639104	yes	weak	no	no	no
824161693852925953	no	no	no	no	no
809536284939030528	no	no	no	no	yes
810185354791751680	yes	weak	weak	no	yes
788366053151768576	no	weak	no	no	no
829477233886654465	no	strong	weak	no	yes
841194625465495552	no	no	no	no	no
853169194061504512	no	no	no	yes	no
788024689838940161	yes	strong	no	no	no
835470659841060865	no	no	no	no	no
806720833750265856	no	weak	no	no	yes
811140106065235972	no	no	no	no	no
815573174578462721	no	weak	weak	no	yes
839047873253748737	no	no	no	no	no
848857172003958784	yes	strong	no	no	no
807484747131842561	no	no	no	no	no
836240234731999232	no	weak	weak	yes	no
849728586722533376	no	no	no	no	yes
824705954717564929	no	no	no	yes	no
835581180577742853	no	no	no	yes	no
824998697935175682	no	no	no	no	yes
805691078796001280	no	no	no	no	no
827476440119656448	no	no	no	no	no
842446973584183296	no	weak	weak	no	yes
855700735190867968	no	weak	no	yes	no
824534554107117568	no	no	no	no	no
792493517385768960	no	no	no	no	yes
807653629419257856	no	weak	no	no	no
822883690485346305	no	no	no	no	no
782935764405358592	no	no	no	no	yes
831229654669357057	no	weak	no	yes	no
835182350262747136	no	no	no	yes	no
810036600721862656	no	weak	no	no	yes
790165664036159488	no	no	no	no	yes
840962668500525057	no	no	no	no	no
799136342240272386	no	weak	no	no	yes
812318108958326784	no	no	no	no	no
827527657483071489	no	no	weak	yes	yes
836871434756567041	no	no	no	no	yes
844524060092465152	no	no	no	no	no
803654296520638464	no	weak	no	no	yes
824634347215093760	no	no	no	yes	no
789398322054328320	no	no	no	no	no
831262733932830720	no	no	no	no	yes
810103484951437312	no	weak	weak	no	yes
786523452647870465	no	no	no	no	yes
836859686070661120	no	weak	no	no	no
809134936116563968	no	weak	strong	yes	yes
852455272207536129	no	weak	no	no	yes
849919855209984000	no	no	weak	no	no
789857158217228288	no	no	no	no	no
846043204134879232	yes	strong	no	no	no
821307775494090752	no	no	no	no	no
837182591048552448	no	no	no	yes	no
824996535217840129	no	no	no	no	no
820402350636601348	no	no	weak	yes	yes
837383229523050497	no	weak	no	no	no
807392171380895744	no	weak	no	no	no
855954844494028800	no	no	no	no	no
838142365248389122	no	no	weak	no	no
849559442484080642	no	no	no	no	yes
855363002345848833	no	weak	weak	no	yes
840988413813764096	no	no	no	no	no
838762273040707585	no	weak	weak	no	yes
837333109070835712	no	no	no	no	no
846264019140923392	no	no	no	no	no
834795450981040128	no	weak	weak	no	yes
855820470490419200	no	no	no	no	no
783077885221404673	no	weak	weak	yes	yes
799495640191561728	no	no	no	no	yes
789207119643877377	no	no	no	no	no
809090844175187968	no	weak	no	no	yes
811954476768698368	yes	strong	weak	no	no
823571956138020864	no	no	no	no	no
831595320752668673	no	no	no	no	yes
850024845169569796	no	no	no	no	no
853859084436738048	no	no	no	no	yes
814111976611782656	no	weak	no	no	yes
835162655161737216	no	no	strong	no	no
800768449651888128	no	no	no	no	no
807996762359263233	no	no	no	no	no
835206073552363520	no	no	no	no	no
804430298448613377	no	no	no	no	yes
841940786975518720	no	weak	no	no	no
814907810676961280	no	no	no	no	no
803716377903296512	no	weak	strong	no	yes
818037563038560257	no	no	no	no	no
801897180080521216	no	weak	no	no	yes
837228354877206528	no	weak	no	no	no
817295639440723968	no	weak	no	no	yes
839827550390087681	no	no	weak	no	yes
826618687591415809	no	no	no	no	yes
833628027657531392	no	no	no	no	yes
841430322487148545	no	weak	no	no	yes
823626089285189632	no	no	no	no	no
810156762334711808	no	weak	weak	no	no
854484440667521024	no	weak	weak	yes	yes
836965751751860225	no	no	no	no	no
834550756095164416	no	no	no	no	yes
840447100387262464	no	weak	no	no	yes
823670431177543680	no	no	no	no	no
809701941152481281	no	no	no	yes	no
804660666422398976	no	no	no	no	no
849029391485202433	no	no	weak	yes	no
834785125258911744	no	no	no	no	no
784480873089490949	no	weak	no	no	yes
846367935056826369	no	no	no	no	no
807599926221873152	no	no	no	no	no
824747818367737857	no	weak	no	no	yes
829596269911871488	no	no	no	no	yes
850630871136825345	no	no	no	no	no
817121611824427009	no	weak	weak	no	yes
